epoch,train_loss,acc,f1,roc_auc,ap
1,0.17636451289555077,0.950354609929078,0.950354609929078,0.9834293716198815,0.9871012447471759
2,0.11665446350537977,0.9347517730496454,0.9361111111111111,0.9837915271697142,0.9876444935139346
3,0.0944799857654293,0.9560283687943263,0.9562764456981664,0.9875981843935102,0.9906962020876215
4,0.06745886436118906,0.9390070921985816,0.9398601398601398,0.9843065928405872,0.9839868674360923
5,0.06752741171954438,0.9602836879432625,0.9598853868194842,0.9885236930208602,0.9908897768426203
6,0.04686473774727192,0.9560283687943263,0.9553956834532374,0.9841295390162246,0.988574195994484
7,0.029200855516612573,0.9574468085106383,0.9575070821529745,0.9885961241308266,0.9907482914477769
8,0.03505315075892571,0.9517730496453901,0.9517045454545454,0.9866606039144991,0.9811457775718666
9,0.0282541749411522,0.9574468085106383,0.9576271186440678,0.9877108550090137,0.9888022590820253
10,0.023656418955564255,0.9631205673758865,0.9629629629629629,0.9910587818696883,0.992605673142243
11,0.027287019316821374,0.9602836879432625,0.9602272727272727,0.9895337046098377,0.9908671594379437
12,0.023381367061891627,0.8184397163120567,0.8042813455657493,0.9581106747360288,0.9614062486905685
